"original_name","processed_name"
"〔東洋〕黄連解毒湯エキス細粒","〔東洋〕黄連解毒湯えきす細粒"
"〔東洋〕龍胆瀉肝湯エキス細粒","〔東洋〕龍胆瀉肝湯えきす細粒"
"おたふくかぜ生ワクチン","おたふくかぜ生わくちん"
"つくしＡ・Ｍ配合散","つくしａ・ｍ配合散"
"はしか風しん混合生ワクチン","はしか風しん混合生わくちん"
"アイオピジンＵＤ点眼液１％","あいおぴじんｕｄ点眼液１％"
"アイクルシグ錠１５ｍｇ","あいくるしぐ錠１５ｍｇ"
"アイセントレス錠４００ｍｇ","あいせんとれす錠４００ｍｇ"
"アイセントレス錠６００ｍｇ","あいせんとれす錠６００ｍｇ"
"アイソボリン点滴静注用１００ｍｇ","あいそぼりん点滴静注用１００ｍｇ"
"アイソボリン点滴静注用２５ｍｇ","あいそぼりん点滴静注用２５ｍｇ"
"アイトロール錠１０ｍｇ","あいとろーる錠１０ｍｇ"
"アイトロール錠２０ｍｇ","あいとろーる錠２０ｍｇ"
"アイドロイチン１％点眼液","あいどろいちん１％点眼液"
"アイドロイチン３％点眼液","あいどろいちん３％点眼液"
"アイノフロー吸入用８００ｐｐｍ","あいのふろー吸入用８００ｐｐｍ"
"アイピーディカプセル１００","あいぴーでぃかぷせる１００"
"アイピーディカプセル５０","あいぴーでぃかぷせる５０"
"アイピーディドライシロップ５％","あいぴーでぃどらいしろっぷ５％"
"アイファガン点眼液０．１％","あいふぁがん点眼液０．１％"
"アイベータ配合点眼液","あいべーた配合点眼液"
"アイミクス配合錠ＨＤ","あいみくす配合錠ｈｄ"
"アイミクス配合錠ＬＤ","あいみくす配合錠ｌｄ"
"アイモビーグ皮下注７０ｍｇペン","あいもびーぐ皮下注７０ｍｇぺん"
"アイラミド配合懸濁性点眼液","あいらみど配合懸濁性点眼液"
"アイリーア硝子体内注射液４０ｍｇ／ｍＬ","あいりーあ硝子体内注射液４０ｍｇ／ｍｌ"
"アイリーア硝子体内注射用キット４０ｍｇ／ｍＬ","あいりーあ硝子体内注射用きっと４０ｍｇ／ｍｌ"
"アイリーア８ｍｇ硝子体内注射液１１４．３ｍｇ／ｍＬ","あいりーあ８ｍｇ硝子体内注射液１１４．３ｍｇ／ｍｌ"
"アウドラザイム点滴静注液２．９ｍｇ","あうどらざいむ点滴静注液２．９ｍｇ"
"アエントリペンタート静注１０５５ｍｇ","あえんとりぺんたーと静注１０５５ｍｇ"
"アカルボース錠１００ｍｇ","あかるぼーす錠１００ｍｇ"
"アカルボース錠５０ｍｇ","あかるぼーす錠５０ｍｇ"
"アカルボースＯＤ錠１００ｍｇ","あかるぼーすｏｄ錠１００ｍｇ"
"アカルボースＯＤ錠５０ｍｇ","あかるぼーすｏｄ錠５０ｍｇ"
"アガルシダーゼ　ベータＢＳ点滴静注３５ｍｇ","あがるしだーぜ　べーたｂｓ点滴静注３５ｍｇ"
"アガルシダーゼ　ベータＢＳ点滴静注５ｍｇ","あがるしだーぜ　べーたｂｓ点滴静注５ｍｇ"
"アキネトン注射液５ｍｇ","あきねとん注射液５ｍｇ"
"アキネトン細粒１％","あきねとん細粒１％"
"アキネトン錠１ｍｇ","あきねとん錠１ｍｇ"
"アキャルックス点滴静注２５０ｍｇ","あきゃるっくす点滴静注２５０ｍｇ"
"アキュミン静注","あきゅみん静注"
"アキョウダイコーＭ","あきょうだいこーｍ"
"アクアチムクリーム１％","あくあちむくりーむ１％"
"アクアチムローション１％","あくあちむろーしょん１％"
"アクアチム軟膏１％","あくあちむ軟膏１％"
"アクセノン末","あくせのん末"
"アクタリット錠１００ｍｇ","あくたりっと錠１００ｍｇ"
"アクチット輸液","あくちっと輸液"
"アクチバシン注１２００万","あくちばしん注１２００万"
"アクチバシン注２４００万","あくちばしん注２４００万"
"アクチバシン注６００万","あくちばしん注６００万"
"アクテムラ点滴静注用２００ｍｇ","あくてむら点滴静注用２００ｍｇ"
"アクテムラ点滴静注用４００ｍｇ","あくてむら点滴静注用４００ｍｇ"
"アクテムラ点滴静注用８０ｍｇ","あくてむら点滴静注用８０ｍｇ"
"アクテムラ皮下注１６２ｍｇオートインジェクター","あくてむら皮下注１６２ｍｇおーといんじぇくたー"
"アクテムラ皮下注１６２ｍｇシリンジ","あくてむら皮下注１６２ｍｇしりんじ"
"アクトシン注射用３００ｍｇ","あくとしん注射用３００ｍｇ"
"アクトシン軟膏３％","あくとしん軟膏３％"
"アクトス錠１５","あくとす錠１５"
"アクトス錠３０","あくとす錠３０"
"アクトスＯＤ錠１５","あくとすｏｄ錠１５"
"アクトスＯＤ錠３０","あくとすｏｄ錠３０"
"アクトネル錠１７．５ｍｇ","あくとねる錠１７．５ｍｇ"
"アクトネル錠２．５ｍｇ","あくとねる錠２．５ｍｇ"
"アクトネル錠７５ｍｇ","あくとねる錠７５ｍｇ"
"アクトヒブ","あくとひぶ"
"アクプラ静注用１００ｍｇ","あくぷら静注用１００ｍｇ"
"アクプラ静注用１０ｍｇ","あくぷら静注用１０ｍｇ"
"アクプラ静注用５０ｍｇ","あくぷら静注用５０ｍｇ"
"アクマルト輸液","あくまると輸液"
"アクメインＤ輸液","あくめいんｄ輸液"
"アクラシノン注射用２０ｍｇ","あくらしのん注射用２０ｍｇ"
"アクロマイシントローチ１５ｍｇ","あくろまいしんとろーち１５ｍｇ"
"アクロマイシン末","あくろまいしん末"
"アクロマイシン軟膏３％","あくろまいしん軟膏３％"
"アクロマイシンＶカプセル２５０ｍｇ","あくろまいしんｖかぷせる２５０ｍｇ"
"アクロマイシンＶカプセル５０ｍｇ","あくろまいしんｖかぷせる５０ｍｇ"
"アグサール","あぐさーる"
"アグリリンカプセル０．５ｍｇ","あぐりりんかぷせる０．５ｍｇ"
"アコアラン静注用１８００","あこあらん静注用１８００"
"アコアラン静注用６００","あこあらん静注用６００"
"アコニップパップ７０ｍｇ","あこにっぷぱっぷ７０ｍｇ"
"アコニンサン錠","あこにんさん錠"
"アコファイド錠１００ｍｇ","あこふぁいど錠１００ｍｇ"
"アサコール錠４００ｍｇ","あさこーる錠４００ｍｇ"
"アザクタム注射用０．５ｇ","あざくたむ注射用０．５ｇ"
"アザクタム注射用１ｇ","あざくたむ注射用１ｇ"
"アザシチジン注射用１００ｍｇ","あざしちじん注射用１００ｍｇ"
"アザシチジン注射用１５０ｍｇ","あざしちじん注射用１５０ｍｇ"
"アザニン錠５０ｍｇ","あざにん錠５０ｍｇ"
"アザルフィジンＥＮ錠２５０ｍｇ","あざるふぃじんｅｎ錠２５０ｍｇ"
"アザルフィジンＥＮ錠５００ｍｇ","あざるふぃじんｅｎ錠５００ｍｇ"
"アシアロシンチ注","あしあろしんち注"
"アシクロビルクリーム５％","あしくろびるくりーむ５％"
"アシクロビルシロップ８％","あしくろびるしろっぷ８％"
"アシクロビル内服ゼリー２００ｍｇ","あしくろびる内服ぜりー２００ｍｇ"
"アシクロビル内服ゼリー８００ｍｇ","あしくろびる内服ぜりー８００ｍｇ"
"アシクロビル点滴静注液２５０ｍｇ","あしくろびる点滴静注液２５０ｍｇ"
"アシクロビル点滴静注液２５０ｍｇバッグ１００ｍＬ","あしくろびる点滴静注液２５０ｍｇばっぐ１００ｍｌ"
"アシクロビル点滴静注用２５０ｍｇ","あしくろびる点滴静注用２５０ｍｇ"
"アシクロビル眼軟膏３％","あしくろびる眼軟膏３％"
"アシクロビル軟膏５％","あしくろびる軟膏５％"
"アシクロビル錠２００ｍｇ","あしくろびる錠２００ｍｇ"
"アシクロビル錠４００ｍｇ","あしくろびる錠４００ｍｇ"
"アシクロビル顆粒４０％","あしくろびる顆粒４０％"
"アシクロビルＤＳ８０％","あしくろびるｄｓ８０％"
"アシテアダニ舌下錠１００単位（ＩＲ）","あしてあだに舌下錠１００単位（ｉｒ）"
"アシテアダニ舌下錠３００単位（ＩＲ）","あしてあだに舌下錠３００単位（ｉｒ）"
"アシノン錠１５０ｍｇ","あしのん錠１５０ｍｇ"
"アシノン錠７５ｍｇ","あしのん錠７５ｍｇ"
"アジスロマイシン小児用細粒１０％","あじすろまいしん小児用細粒１０％"
"アジスロマイシン小児用錠１００ｍｇ","あじすろまいしん小児用錠１００ｍｇ"
"アジスロマイシン細粒小児用１０％","あじすろまいしん細粒小児用１０％"
"アジスロマイシン錠２５０ｍｇ","あじすろまいしん錠２５０ｍｇ"
"アジスロマイシン錠５００ｍｇ","あじすろまいしん錠５００ｍｇ"
"アジマイシン点眼液１％","あじまいしん点眼液１％"
"アジャストＡコーワ錠４０ｍｇ","あじゃすとａこーわ錠４０ｍｇ"
"アジョビ皮下注２２５ｍｇオートインジェクター","あじょび皮下注２２５ｍｇおーといんじぇくたー"
"アジョビ皮下注２２５ｍｇシリンジ","あじょび皮下注２２５ｍｇしりんじ"
"アジルサルタン錠１０ｍｇ","あじるさるたん錠１０ｍｇ"
"アジルサルタン錠２０ｍｇ","あじるさるたん錠２０ｍｇ"
"アジルサルタン錠４０ｍｇ","あじるさるたん錠４０ｍｇ"
"アジルサルタンＯＤ錠１０ｍｇ","あじるさるたんｏｄ錠１０ｍｇ"
"アジルサルタンＯＤ錠２０ｍｇ","あじるさるたんｏｄ錠２０ｍｇ"
"アジルサルタンＯＤ錠４０ｍｇ","あじるさるたんｏｄ錠４０ｍｇ"
"アジルバ錠１０ｍｇ","あじるば錠１０ｍｇ"
"アジルバ錠２０ｍｇ","あじるば錠２０ｍｇ"
"アジルバ錠４０ｍｇ","あじるば錠４０ｍｇ"
"アジルバ顆粒１％","あじるば顆粒１％"
"アジレクト錠０．５ｍｇ","あじれくと錠０．５ｍｇ"
"アジレクト錠１ｍｇ","あじれくと錠１ｍｇ"
"アジンマ静注用１５００","あじんま静注用１５００"
"アスコルビン酸","あすこるびん酸"
"アスコルビン酸原末","あすこるびん酸原末"
"アスコルビン酸注射液１０００ｍｇ","あすこるびん酸注射液１０００ｍｇ"
"アスコルビン酸注射液１００ｍｇ","あすこるびん酸注射液１００ｍｇ"
"アスコルビン酸注射液２０００ｍｇ","あすこるびん酸注射液２０００ｍｇ"
"アスコルビン酸注射液５００ｍｇ","あすこるびん酸注射液５００ｍｇ"
"アスコルビン酸注１００ｍｇ","あすこるびん酸注１００ｍｇ"
"アスコルビン酸注１ｇ","あすこるびん酸注１ｇ"
"アスコルビン酸注５００ｍｇ","あすこるびん酸注５００ｍｇ"
"アスコルビン酸注５００ｍｇＰＢ","あすこるびん酸注５００ｍｇｐｂ"
"アスタットクリーム１％","あすたっとくりーむ１％"
"アスタット外用液１％","あすたっと外用液１％"
"アスタット軟膏１％","あすたっと軟膏１％"
"アステマリン３号ＭＧ輸液","あすてまりん３号ｍｇ輸液"
"アストミンシロップ０．２５％","あすとみんしろっぷ０．２５％"
"アストミン散１０％","あすとみん散１０％"
"アストミン錠１０ｍｇ","あすとみん錠１０ｍｇ"
"アスパラ-ＣＡ錠２００","あすぱら-ｃａ錠２００"
"アスパラカリウム散５０％","あすぱらかりうむ散５０％"
"アスパラカリウム注１０ｍＥｑ","あすぱらかりうむ注１０ｍｅｑ"
"アスパラカリウム錠３００ｍｇ","あすぱらかりうむ錠３００ｍｇ"
"アスパラギン酸カリウム注１０ｍＥｑキット","あすぱらぎん酸かりうむ注１０ｍｅｑきっと"
"アスパラ注射液","あすぱら注射液"
"アスパラ配合錠","あすぱら配合錠"
"アスピリン","あすぴりん"
"アスピリン原末","あすぴりん原末"
"アスピリン腸溶錠１００ｍｇ","あすぴりん腸溶錠１００ｍｇ"
"アスプール液（０．５％）","あすぷーる液（０．５％）"
"アスベリンシロップ０．５％","あすべりんしろっぷ０．５％"
"アスベリンシロップ２％","あすべりんしろっぷ２％"
"アスベリンドライシロップ２％","あすべりんどらいしろっぷ２％"
"アスベリン散１０％","あすべりん散１０％"
"アスベリン錠１０","あすべりん錠１０"
"アスベリン錠２０","あすべりん錠２０"
"アスペノンカプセル１０","あすぺのんかぷせる１０"
"アスペノンカプセル２０","あすぺのんかぷせる２０"
"アズノールうがい液４％","あずのーるうがい液４％"
"アズノール軟膏０．０３３％","あずのーる軟膏０．０３３％"
"アズノール錠２ｍｇ","あずのーる錠２ｍｇ"
"アズノールＳＴ錠口腔用５ｍｇ","あずのーるｓｔ錠口腔用５ｍｇ"
"アズマネックスツイストヘラー１００μｇ６０吸入","あずまねっくすついすとへらー１００μｇ６０吸入"
"アズマネックスツイストヘラー２００μｇ６０吸入","あずまねっくすついすとへらー２００μｇ６０吸入"
"アズレイうがい液４％","あずれいうがい液４％"
"アズレンうがい液４％","あずれんうがい液４％"
"アズレンスルホン酸ナトリウム・Ｌ-グルタミン配合顆粒","あずれんするほん酸なとりうむ・ｌ-ぐるたみん配合顆粒"
"アズレン含嗽液アーズミンうがい液１％","あずれん含嗽液あーずみんうがい液１％"
"アズレン含嗽用散０．４％","あずれん含嗽用散０．４％"
"アズレン含嗽用顆粒０．４％","あずれん含嗽用顆粒０．４％"
"アズレン点眼液０．０２％","あずれん点眼液０．０２％"
"アズレン錠２ｍｇ","あずれん錠２ｍｇ"
"アズレン顆粒１％","あずれん顆粒１％"
"アズロキサ錠１５ｍｇ","あずろきさ錠１５ｍｇ"
"アズロキサ顆粒２．５％","あずろきさ顆粒２．５％"
"アセサイド６％消毒液","あせさいど６％消毒液"
"アセサイドＭＡ６％消毒液","あせさいどｍａ６％消毒液"
"アセスクリン手指消毒液０．２％","あせすくりん手指消毒液０．２％"
"アセチルシステイン内用液１７．６％","あせちるしすていん内用液１７．６％"
"アセチルスピラマイシン錠１００","あせちるすぴらまいしん錠１００"
"アセチルスピラマイシン錠２００","あせちるすぴらまいしん錠２００"
"アセテート維持液３Ｇ","あせてーと維持液３ｇ"
"アセトアミノフェン","あせとあみのふぇん"
"アセトアミノフェン〈ハチ〉","あせとあみのふぇん〈はち〉"
"アセトアミノフェンシロップ小児用２％","あせとあみのふぇんしろっぷ小児用２％"
"アセトアミノフェン原末","あせとあみのふぇん原末"
"アセトアミノフェン坐剤小児用１００ｍｇ","あせとあみのふぇん坐剤小児用１００ｍｇ"
"アセトアミノフェン坐剤小児用２００ｍｇ","あせとあみのふぇん坐剤小児用２００ｍｇ"
"アセトアミノフェン坐剤小児用５０ｍｇ","あせとあみのふぇん坐剤小児用５０ｍｇ"
"アセトアミノフェン細粒２０％","あせとあみのふぇん細粒２０％"
"アセトアミノフェン錠２００ｍｇ","あせとあみのふぇん錠２００ｍｇ"
"アセトアミノフェン錠３００ｍｇ","あせとあみのふぇん錠３００ｍｇ"
"アセトアミノフェン錠５００ｍｇ","あせとあみのふぇん錠５００ｍｇ"
"アセトアミノフェンＤＳ小児用２０％","あせとあみのふぇんｄｓ小児用２０％"
"アセトアミノフェンＤＳ４０％","あせとあみのふぇんｄｓ４０％"
"アセトキープ３Ｇ注","あせときーぷ３ｇ注"
"アセノベル徐放錠５００ｍｇ","あせのべる徐放錠５００ｍｇ"
"アセリオ静注液１０００ｍｇバッグ","あせりお静注液１０００ｍｇばっぐ"
"アセレンド注１００μｇ","あせれんど注１００μｇ"
"アゼプチン錠０．５ｍｇ","あぜぷちん錠０．５ｍｇ"
"アゼプチン錠１ｍｇ","あぜぷちん錠１ｍｇ"
"アゼラスチン塩酸塩錠０．５ｍｇ","あぜらすちん塩酸塩錠０．５ｍｇ"
"アゼラスチン塩酸塩錠１ｍｇ","あぜらすちん塩酸塩錠１ｍｇ"
"アゼルニジピン錠１６ｍｇ","あぜるにじぴん錠１６ｍｇ"
"アゼルニジピン錠８ｍｇ","あぜるにじぴん錠８ｍｇ"
"アゾセミド錠３０ｍｇ","あぞせみど錠３０ｍｇ"
"アゾセミド錠６０ｍｇ","あぞせみど錠６０ｍｇ"
"アゾテシン点眼液０．０２％","あぞてしん点眼液０．０２％"
"アゾルガ配合懸濁性点眼液","あぞるが配合懸濁性点眼液"
"アタバニン散","あたばにん散"
"アタラックス-Ｐカプセル２５ｍｇ","あたらっくす-ｐかぷせる２５ｍｇ"
"アタラックス-Ｐカプセル５０ｍｇ","あたらっくす-ｐかぷせる５０ｍｇ"
"アタラックス-Ｐシロップ０．５％","あたらっくす-ｐしろっぷ０．５％"
"アタラックス-Ｐドライシロップ２．５％","あたらっくす-ｐどらいしろっぷ２．５％"
"アタラックス-Ｐ散１０％","あたらっくす-ｐ散１０％"
"アタラックス-Ｐ注射液（２５ｍｇ／ｍｌ）","あたらっくす-ｐ注射液（２５ｍｇ／ｍｌ）"
"アタラックス-Ｐ注射液（５０ｍｇ／ｍｌ）","あたらっくす-ｐ注射液（５０ｍｇ／ｍｌ）"
"アタラックス錠１０ｍｇ","あたらっくす錠１０ｍｇ"
"アタラックス錠２５ｍｇ","あたらっくす錠２５ｍｇ"
"アダパレンクリーム０．１％","あだぱれんくりーむ０．１％"
"アダパレンゲル０．１％","あだぱれんげる０．１％"
"アダプチノール錠５ｍｇ","あだぷちのーる錠５ｍｇ"
"アダラートＣＲ錠１０ｍｇ","あだらーとｃｒ錠１０ｍｇ"
"アダラートＣＲ錠２０ｍｇ","あだらーとｃｒ錠２０ｍｇ"
"アダラートＣＲ錠４０ｍｇ","あだらーとｃｒ錠４０ｍｇ"
"アダリムマブＢＳ皮下注２０ｍｇシリンジ０．２ｍＬ","あだりむまぶｂｓ皮下注２０ｍｇしりんじ０．２ｍｌ"
"アダリムマブＢＳ皮下注２０ｍｇシリンジ０．４ｍＬ","あだりむまぶｂｓ皮下注２０ｍｇしりんじ０．４ｍｌ"
"アダリムマブＢＳ皮下注４０ｍｇシリンジ０．４ｍＬ","あだりむまぶｂｓ皮下注４０ｍｇしりんじ０．４ｍｌ"
"アダリムマブＢＳ皮下注４０ｍｇシリンジ０．８ｍＬ","あだりむまぶｂｓ皮下注４０ｍｇしりんじ０．８ｍｌ"
"アダリムマブＢＳ皮下注４０ｍｇペン０．４ｍＬ","あだりむまぶｂｓ皮下注４０ｍｇぺん０．４ｍｌ"
"アダリムマブＢＳ皮下注４０ｍｇペン０．８ｍＬ","あだりむまぶｂｓ皮下注４０ｍｇぺん０．８ｍｌ"
"アダリムマブＢＳ皮下注８０ｍｇシリンジ０．８ｍＬ","あだりむまぶｂｓ皮下注８０ｍｇしりんじ０．８ｍｌ"
"アダリムマブＢＳ皮下注８０ｍｇペン０．８ｍＬ","あだりむまぶｂｓ皮下注８０ｍｇぺん０．８ｍｌ"
"アテキュラ吸入用カプセル中用量","あてきゅら吸入用かぷせる中用量"
"アテキュラ吸入用カプセル低用量","あてきゅら吸入用かぷせる低用量"
"アテキュラ吸入用カプセル高用量","あてきゅら吸入用かぷせる高用量"
"アテディオ配合錠","あてでぃお配合錠"
"アテノロール錠２５ｍｇ","あてのろーる錠２５ｍｇ"
"アテノロール錠５０ｍｇ","あてのろーる錠５０ｍｇ"
"アテレック錠１０","あてれっく錠１０"
"アテレック錠２０","あてれっく錠２０"
"アテレック錠５","あてれっく錠５"
"アディノベイト静注用キット１０００","あでぃのべいと静注用きっと１０００"
"アディノベイト静注用キット１５００","あでぃのべいと静注用きっと１５００"
"アディノベイト静注用キット２０００","あでぃのべいと静注用きっと２０００"
"アディノベイト静注用キット２５０","あでぃのべいと静注用きっと２５０"
"アディノベイト静注用キット３０００","あでぃのべいと静注用きっと３０００"
"アディノベイト静注用キット５００","あでぃのべいと静注用きっと５００"
"アデカット１５ｍｇ錠","あでかっと１５ｍｇ錠"
"アデカット３０ｍｇ錠","あでかっと３０ｍｇ錠"
"アデカット７．５ｍｇ錠","あでかっと７．５ｍｇ錠"
"アデスタンクリーム１％","あですたんくりーむ１％"
"アデスタン腟錠３００ｍｇ","あですたん腟錠３００ｍｇ"
"アデノシン負荷用静注６０ｍｇシリンジ","あでのしん負荷用静注６０ｍｇしりんじ"
"アデノスキャン注６０ｍｇ","あでのすきゃん注６０ｍｇ"
"アデホス-Ｌコーワ注１０ｍｇ","あでほす-ｌこーわ注１０ｍｇ"
"アデホス-Ｌコーワ注２０ｍｇ","あでほす-ｌこーわ注２０ｍｇ"
"アデホス-Ｌコーワ注４０ｍｇ","あでほす-ｌこーわ注４０ｍｇ"
"アデホスコーワ腸溶錠２０","あでほすこーわ腸溶錠２０"
"アデホスコーワ腸溶錠６０","あでほすこーわ腸溶錠６０"
"アデホスコーワ顆粒１０％","あでほすこーわ顆粒１０％"
"アデムパス錠０．５ｍｇ","あでむぱす錠０．５ｍｇ"
"アデムパス錠１．０ｍｇ","あでむぱす錠１．０ｍｇ"
"アデムパス錠２．５ｍｇ","あでむぱす錠２．５ｍｇ"
"アデラビン９号注１ｍＬ","あでらびん９号注１ｍｌ"
"アデラビン９号注２ｍＬ","あでらびん９号注２ｍｌ"
"アデール点滴静注用５ｍｇ","あでーる点滴静注用５ｍｇ"
"アトガム点滴静注液２５０ｍｇ","あとがむ点滴静注液２５０ｍｇ"
"アトニン-Ｏ注１単位","あとにん-ｏ注１単位"
"アトニン-Ｏ注５単位","あとにん-ｏ注５単位"
"アトモキセチンカプセル１０ｍｇ","あともきせちんかぷせる１０ｍｇ"
"アトモキセチンカプセル２５ｍｇ","あともきせちんかぷせる２５ｍｇ"
"アトモキセチンカプセル４０ｍｇ","あともきせちんかぷせる４０ｍｇ"
"アトモキセチンカプセル５ｍｇ","あともきせちんかぷせる５ｍｇ"
"アトモキセチン内用液０．４％","あともきせちん内用液０．４％"
"アトモキセチン錠１０ｍｇ","あともきせちん錠１０ｍｇ"
"アトモキセチン錠２５ｍｇ","あともきせちん錠２５ｍｇ"
"アトモキセチン錠４０ｍｇ","あともきせちん錠４０ｍｇ"
"アトモキセチン錠５ｍｇ","あともきせちん錠５ｍｇ"
"アトラントクリーム１％","あとらんとくりーむ１％"
"アトラント外用液１％","あとらんと外用液１％"
"アトラント軟膏１％","あとらんと軟膏１％"
"アトルバスタチン錠１０ｍｇ","あとるばすたちん錠１０ｍｇ"
"アトルバスタチン錠５ｍｇ","あとるばすたちん錠５ｍｇ"
"アトルバスタチンＯＤ錠１０ｍｇ","あとるばすたちんｏｄ錠１０ｍｇ"
"アトルバスタチンＯＤ錠５ｍｇ","あとるばすたちんｏｄ錠５ｍｇ"
"アトロピン注０．０５％シリンジ","あとろぴん注０．０５％しりんじ"
"アトロピン硫酸塩水和物原末","あとろぴん硫酸塩水和物原末"
"アトロピン硫酸塩注０．５ｍｇ","あとろぴん硫酸塩注０．５ｍｇ"
"アトロベントエロゾル２０μｇ","あとろべんとえろぞる２０μｇ"
"アトワゴリバース静注シリンジ３ｍＬ","あとわごりばーす静注しりんじ３ｍｌ"
"アトワゴリバース静注シリンジ６ｍＬ","あとわごりばーす静注しりんじ６ｍｌ"
"アトーゼット配合錠ＨＤ","あとーぜっと配合錠ｈｄ"
"アトーゼット配合錠ＬＤ","あとーぜっと配合錠ｌｄ"
"アドエア１００ディスカス２８吸入用","あどえあ１００でぃすかす２８吸入用"
"アドエア１００ディスカス６０吸入用","あどえあ１００でぃすかす６０吸入用"
"アドエア１２５エアゾール１２０吸入用","あどえあ１２５えあぞーる１２０吸入用"
"アドエア２５０エアゾール１２０吸入用","あどえあ２５０えあぞーる１２０吸入用"
"アドエア２５０ディスカス２８吸入用","あどえあ２５０でぃすかす２８吸入用"
"アドエア２５０ディスカス６０吸入用","あどえあ２５０でぃすかす６０吸入用"
"アドエア５０エアゾール１２０吸入用","あどえあ５０えあぞーる１２０吸入用"
"アドエア５００ディスカス２８吸入用","あどえあ５００でぃすかす２８吸入用"
"アドエア５００ディスカス６０吸入用","あどえあ５００でぃすかす６０吸入用"
"アドシルカ錠２０ｍｇ","あどしるか錠２０ｍｇ"
"アドステロール-Ｉ１３１注射液","あどすてろーる-ｉ１３１注射液"
"アドセトリス点滴静注用５０ｍｇ","あどせとりす点滴静注用５０ｍｇ"
"アドソルビン原末","あどそるびん原末"
"アドトラーザ皮下注１５０ｍｇシリンジ","あどとらーざ皮下注１５０ｍｇしりんじ"
"アドナ散１０％","あどな散１０％"
"アドナ注（静脈用）１００ｍｇ","あどな注（静脈用）１００ｍｇ"
"アドナ注（静脈用）２５ｍｇ","あどな注（静脈用）２５ｍｇ"
"アドナ注（静脈用）５０ｍｇ","あどな注（静脈用）５０ｍｇ"
"アドナ注１０ｍｇ","あどな注１０ｍｇ"
"アドナ錠１０ｍｇ","あどな錠１０ｍｇ"
"アドナ錠３０ｍｇ","あどな錠３０ｍｇ"
"アドビオール錠５ｍｇ","あどびおーる錠５ｍｇ"
